Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Ene,1961,9,4.42,8,0,4.37,4,5.3,4.84,4.91,171.61
Feb,1961,11,12.63,2.5,14,12.66,13,12.7,11.33,11.23,129.17
Mar,1961,3,5.53,46,1.5,5.61,12.2,8.7,11.97,12.32,127.7
Abr,1961,12,10.53,7,7.5,10.53,12,33,13.91,14.06,107.94
May,1961,11,10.68,2.5,6.5,10.71,14.5,0.2,7.81,7.66,97.87
Jun,1961,149,128.03,296,127,127.62,107,107.2,146.19,147.58,560.22
Jul,1961,45,56.73,39,82,56.77,44,63.7,55.73,55.57,509.9
Sep,1961,54.5,59.63,62,38.5,59.9,86,83,64.89,65.05,373.01
Oct,1961,10.1,6.92,116.5,6.5,6.86,4,3.6,21.31,22.23,322.55
Nov,1961,2,3.97,14,2,4.03,8,8.9,6.41,6.52,219.03
Dic,1961,1,0.35,12,0,0.34,0,0.1,1.88,1.98,189.53
Ene,1962,0,0,0.5,0,0,0,0,0.06,0,166.92
Feb,1962,0,0.24,1.5,0,0.25,0,0,0.37,1,125.58
Mar,1962,0,0.52,1.5,0,0.55,0,0,0.61,2.2,124.13
Abr,1962,45.5,31.96,32,28,31.67,30.5,34.5,31.56,22.5,109.52
May,1962,27,19.01,83.5,12,18.9,20,18.9,26.37,16.4,105.61
Jul,1962,9,3.46,0,0.5,3.39,1,1.5,2.46,3,551.5
Ago,1962,27.5,29.69,164.6,11.2,30,35.5,34.8,47.19,45.5,251.53
Sep,1962,114,83.31,189.1,44,83.04,91.8,100.6,97.48,81.4,375.77
Oct,1962,12.5,15.9,204.5,10,16.15,11,13.6,38.55,31.2,364.14
Nov,1962,43.5,22.23,99.4,15,21.83,17,14.7,29.15,11.6,219.87
Dic,1962,10,10.76,11.5,14.5,10.71,11,9,10.55,7.4,192.39
Feb,1963,0,4.26,2.5,7,4.31,5.5,5.5,4.44,4.8,115.32
Mar,1963,8.5,13.9,8,26,13.86,11.5,11.3,12.88,9.7,113.57
Abr,1963,2.5,4.18,21,0,4.2,12.5,12.2,7.59,1.6,99.01
May,1963,63,59.33,71.2,49,59.13,84.6,41.7,58.05,39.2,109.24
Jun,1963,115,47.26,156.6,17.9,46.17,22.5,29.8,54.07,28.7,105.31
Jul,1963,29.5,20.07,49.6,3.7,20.05,24.5,26.2,24.29,22.1,135.78
Ago,1963,54.5,39.3,117.2,87,38.4,9,7.7,41.9,4.1,174.82
Sep,1963,106,112.74,284.5,182,112.09,80.3,81,127.51,81.6,486.93
Oct,1963,24,38.04,69.6,41,38.39,36.5,31.4,41.68,52.3,361.18
